,Name,Year,Salaries,Rank
170,Eddie Jones,2000,NA,170
171,Brian Grant,2000,NA,171
172,Tim Thomas,2000,NA,172
173,Michael Finley,2000,NA,173
174,Shawn Bradley,2000,NA,174
175,Danny Manning,2000,NA,175
176,Avery Johnson,2000,NA,176
177,Glen Rice,2000,NA,177
178,Kendall Gill,2000,NA,178
179,Christian Laettner,2000,NA,179
180,Horace Grant,2000,NA,180
181,Toni Kukoc,2000,NA,181
182,Bryant Stith,2000,NA,182
183,Charles Oakley,2000,NA,183
184,PJ Brown,2000,NA,184
185,Chris Gatling,2000,NA,185
186,Anthony Mason,2000,NA,186
187,Ron Mercer,2000,NA,187
188,Antonio Davis,2000,NA,188
189,Kelvin Cato,2000,NA,189
190,Austin Croshere,2000,NA,190
191,Sean Elliott,2000,NA,191
192,Hersey Hawkins,2000,NA,192
193,Chris Mullin,2000,NA,193
194,Bobby Phills,2000,NA,194
195,Tariq Abdul-Wahad,2000,NA,195
196,Bo Outlaw,2000,NA,196
197,Robert Pack,2000,NA,197
198,Brevin Knight,2000,NA,198
199,Howard Eisley,2000,NA,199
200,Dan Majerle,2000,NA,200
201,Brad Miller,2000,NA,201
202,Ben Wallace,2000,NA,202
203,Duane Causwell,2000,NA,203
204,Danny Fortson,2000,NA,204
205,Corliss Williamson,2000,NA,205
206,Cedric Ceballos,2000,NA,206
207,Jahidi White,2000,NA,207
208,Cuttino Mobley,2000,NA,208
209,Rashard Lewis,2000,NA,209
210,Scot Pollard,2000,NA,210
211,Voshon Lenard,2000,NA,211
212,Nick Anderson,2000,NA,212
213,Dana Barros,2000,NA,213
214,Doug West,2000,NA,214
215,Kurt Thomas,2000,NA,215
216,Adonal Foyle,2000,NA,216
217,Mark Jackson,2000,NA,217
218,Kenyon Martin,2000,NA,218
219,Rex Chapman,2000,NA,219
220,Greg Anthony,2000,NA,220
221,Adam Keefe,2000,NA,221
222,Lamond Murray,2000,NA,222
223,Jud Buechler,2000,NA,223
224,Greg Minor,2000,NA,224
225,Tony Battie,2000,NA,225
226,Don MacLean,2000,NA,226
227,Stromile Swift,2000,NA,227
228,Doug Christie,2000,NA,228
229,Mark Bryant,2000,NA,229
230,Chucky Atkins,2000,NA,230
231,Samaki Walker,2000,NA,231
232,Jerome Williams,2000,NA,232
233,Kevin Willis,2000,NA,233
234,Mikki Moore,2000,NA,234
235,Darius Miles,2000,NA,235
236,Antonio Daniels,2000,NA,236
237,Popeye Jones,2000,NA,237
238,Jon Barry,2000,NA,238
239,Cedric Henderson,2000,NA,239
240,Vernon Maxwell,2000,NA,240
241,Marcus Fizer,2000,NA,241
242,Erick Strickland,2000,NA,242
243,Dragan Tarlac,2000,NA,243
244,Matt Maloney,2000,NA,244
245,Gary Trent,2000,NA,245
246,Terry Mills,2000,NA,246
247,Mark Strickland,2000,NA,247
248,Sam Mitchell,2000,NA,248
249,Chris Whitney,2000,NA,249
250,Jim Jackson,2000,NA,250
251,Mike Miller,2000,NA,251
252,Dale Ellis,2000,NA,252
253,Randy Brown,2000,NA,253
254,Aaron Williams,2000,NA,254
255,Bimbo Coles,2000,NA,255
256,Joe Smith,2000,NA,256
257,Maurice Taylor,2000,NA,257
258,Sam Perkins,2000,NA,258
259,Brian Shaw,2000,NA,259
260,A.C. Green,2000,NA,260
261,Chauncey Billups,2000,NA,261
262,Tony Delk,2000,NA,262
263,Will Perdue,2000,NA,263
264,Bobby Jackson,2000,NA,264
265,Derek Anderson,2000,NA,265
266,John Starks,2000,NA,266
267,Otis Thorpe,2000,NA,267
268,J.R. Reid,2000,NA,268
269,Calbert Cheaney,2000,NA,269
270,George McCloud,2000,NA,270
271,John Wallace,2000,NA,271
272,Michael Curry,2000,NA,272
273,Terry Cummings,2000,NA,273
274,Carlos Rogers,2000,NA,274
275,Shandon Anderson,2000,NA,275
276,Eric Piatkowski,2000,NA,276
277,Ron Harper,2000,NA,277
278,Grant Long,2000,NA,278
279,George Lynch,2000,NA,279
280,Detlef Schrempf,2000,NA,280
281,Olden Polynice,2000,NA,281
282,Michael Smith,2000,NA,282
283,Cory Alexander,2000,NA,283
284,DerMarr Johnson,2000,NA,284
285,John Williams,2000,NA,285
286,Clarence Weatherspoon,2000,NA,286
287,Hubert Davis,2000,NA,287
288,Billy Owens,2000,NA,288
289,Eric Murdock,2000,NA,289
290,Matt Bullard,2000,NA,290
291,Cherokee Parks,2000,NA,291
292,Alvin Williams,2000,NA,292
293,Johnny Newman,2000,NA,293
294,Chris Mihm,2000,NA,294
295,Keith Closs,2000,NA,295
296,Andrew DeClercq,2000,NA,296
297,James Robinson,2000,NA,297
298,Aaron McKie,2000,NA,298
299,Jamal Crawford,2000,NA,299
300,Jaren Jackson,2000,NA,300
301,Lorenzo Williams,2000,NA,301
302,Muggsy Bogues,2000,NA,302
303,Darvin Ham,2000,NA,303
304,Joel Przybilla,2000,NA,304
305,Keyon Dooling,2000,NA,305
306,Jacque Vaughn,2000,NA,306
307,Predrag Stojakovic,2000,NA,307
308,Jerome Moiso,2000,NA,308
309,Michael Doleac,2000,NA,309
310,Etan Thomas,2000,NA,310
311,Tony Massenburg,2000,NA,311
312,Corie Blount,2000,NA,312
313,Courtney Alexander,2000,NA,313
314,Gary Grant,2000,NA,314
315,William Avery,2000,NA,315
316,Mateen Cleaves,2000,NA,316
317,Anthony Johnson,2000,NA,317
318,Chris Carr,2000,NA,318
319,Joe Kleine,2000,NA,319
320,Zan Tabak,2000,NA,320
321,Chuck Person,2000,NA,321
322,Anthony Carter,2000,NA,322
323,LaPhonso Ellis,2000,NA,323
324,Danny Ferry,2000,NA,324
325,Dennis Scott,2000,NA,325
326,Jason Collier,2000,NA,326
327,Bryce Drew,2000,NA,327
328,Elliot Perry,2000,NA,328
329,Hidayet Turkoglu,2000,NA,329
330,Tom Hammonds,2000,NA,330
331,Radoslav Nesterovic,2000,NA,331
332,Jelani McCoy,2000,NA,332
333,Sherman Douglas,2000,NA,333
334,Greg Buckner,2000,NA,334
335,Desmond Mason,2000,NA,335
336,Mirsad Turkcan,2000,NA,336
337,Bill Curley,2000,NA,337
338,Quentin Richardson,2000,NA,338
339,Kevin Edwards,2000,NA,339
340,Jerome Kersey,2000,NA,340
341,Felton Spencer,2000,NA,341
342,David Wingate,2000,NA,342
343,Pervis Ellison,2000,NA,343
344,Dee Brown,2000,NA,344
345,Monty Williams,2000,NA,345
346,Mario Elie,2000,NA,346
347,Tyrone Corbin,2000,NA,347
348,Bruno Sundov,2000,NA,348
349,Ruben Patterson,2000,NA,349
350,Jamaal Magloire,2000,NA,350
351,Speedy Claxton,2000,NA,351
352,Terry Davis,2000,NA,352
353,Stacey Augmon,2000,NA,353
354,Morris Peterson,2000,NA,354
355,Fred Hoiberg,2000,NA,355
356,Tyronn Lue,2000,NA,356
357,Donnell Harvey,2000,NA,357
358,Felipe Lopez,2000,NA,358
359,DeShawn Stevenson,2000,NA,359
360,John Crotty,2000,NA,360
361,Mahmoud Abdul-Rauf,2000,NA,361
362,Dalibor Bagaric,2000,NA,362
363,Sam Jacobson,2000,NA,363
364,Iakovos Tsakalidis,2000,NA,364
365,Corey Benjamin,2000,NA,365
366,Vladimir Stepania,2000,NA,366
367,Nazr Mohammed,2000,NA,367
368,Mamadou N'diaye,2000,NA,368
369,Isaiah Rider,2000,NA,369
370,Todd Day,2000,NA,370
371,David Benoit,2000,NA,371
372,Bruce Bowen,2000,NA,372
373,Erick Barkley,2000,NA,373
374,Damon Jones,2000,NA,374
375,Mark Madsen,2000,NA,375
376,Reggie Slater,2000,NA,376
377,Darrick Martin,2000,NA,377
378,Larry Robinson,2000,NA,378
379,Todd Fuller,2000,NA,379
380,Don Reid,2000,NA,380
381,Antonio Harvey,2000,NA,381
382,Emanual Davis,2000,NA,382
383,Eddie Robinson,2000,NA,383
384,John Amaechi,2000,NA,384
385,Shammond Williams,2000,NA,385
386,Doug Overton,2000,NA,386
387,Shawnelle Scott,2000,NA,387
388,Rick Brunson,2000,NA,388
389,Kevin Ollie,2000,NA,389
390,Moochie Norris,2000,NA,390
391,Tyus Edney,2000,NA,391
392,Jeff McInnis,2000,NA,392
393,Etdrick Bohannon,2000,NA,393
394,Troy Hudson,2000,NA,394
395,Roy Rogers,2000,NA,395
396,Ryan Bowen,2000,NA,396
397,Ansu Sesay,2000,NA,397
398,Laron Profit,2000,NA,398
399,Adrian Griffin,2000,NA,399
400,Earl Boykins,2000,NA,400
401,William Cunningham,2000,NA,401
402,Mark Pope,2000,NA,402
403,Andrae Patterson,2000,NA,403
404,Kornel David,2000,NA,404
405,Gerard King,2000,NA,405
406,Leon Smith,2000,NA,406
407,Michael Ruffin,2000,NA,407
408,Evan Eschmeyer,2000,NA,408
409,Rodney Buford,2000,NA,409
410,Michael Hawkins,2000,NA,410
411,Lari Ketner,2000,NA,411
412,Maceo Baston,2000,NA,412
413,Jonathan Kerner,2000,NA,413
414,Lazaro Borrell,2000,NA,414
415,Jermaine Jackson,2000,NA,415
416,Todd MacCulloch,2000,NA,416
417,Derrick Dial,2000,NA,417
418,Calvin Booth,2000,NA,418
419,Obinna Ekezie,2000,NA,419
420,Hanno Mottola,2000,NA,420
421,Mark Blount,2000,NA,421
422,Milt Palacio,2000,NA,422
423,Chris Herren,2000,NA,423
424,Soumaila Samake,2000,NA,424
425,Stephen Jackson,2000,NA,425
426,Lee Nailon,2000,NA,426
427,Terrance Roberson,2000,NA,427
428,AJ Guyton,2000,NA,428
429,Jake Voskuhl,2000,NA,429
430,Khalid El-Amin,2000,NA,430
431,Eduardo Najera,2000,NA,431
432,Brian Cardinal,2000,NA,432
433,Torraye Braggs,2000,NA,433
434,Marc Jackson,2000,NA,434
435,Chris Porter,2000,NA,435
436,Dan Langhi,2000,NA,436
437,Zendon Hamilton,2000,NA,437
438,Stanislav Medvedenko,2000,NA,438
439,Mike Penberthy,2000,NA,439
440,Eddie House,2000,NA,440
441,Jason Hart,2000,NA,441
442,Michael Redd,2000,NA,442
443,Lavor Postell,2000,NA,443
444,Pete Mickeal,2000,NA,444
445,Olumide Oyedeji,2000,NA,445
446,Ruben Wolkowyski,2000,NA,446
447,Pepe Sanchez,2000,NA,447
448,Ademola Okulaja,2000,NA,448
449,Daniel Santiago,2000,NA,449
450,Paul McPherson,2000,NA,450
451,Ruben Garces,2000,NA,451
452,Jabari Smith,2000,NA,452
453,Ira Newble,2000,NA,453
454,Chris Carrawell,2000,NA,454
455,Garth Joseph,2000,NA,455
456,Mike Smith,2000,NA,456
457,Mark Karcher,2000,NA,457
458,Anthony Miller,2000,NA,458
459,Jamal Robinson,2000,NA,459
460,Kwame Brown,2000,NA,460
461,Zeljko Rebraca,2000,NA,461
462,Tyson Chandler,2000,NA,462
463,Pau Gasol,2000,NA,463
464,Eddy Curry,2000,NA,464
465,Jason Richardson,2000,NA,465
466,Shane Battier,2000,NA,466
467,Eddie Griffin,2000,NA,467
468,DeSagana Diop,2000,NA,468
469,Rodney White,2000,NA,469
470,Joe Johnson,2000,NA,470
471,Kedrick Brown,2000,NA,471
472,Vladimir Radmanovic,2000,NA,472
473,Richard Jefferson,2000,NA,473
474,Troy Murphy,2000,NA,474
475,Steven Hunter,2000,NA,475
476,Kirk Haston,2000,NA,476
477,Michael Bradley,2000,NA,477
478,Jason Collins,2000,NA,478
479,Zach Randolph,2000,NA,479
480,Michael Jordan,2000,NA,480
481,Brendan Haywood,2000,NA,481
482,Joseph Forte,2000,NA,482
483,Jeryl Sasser,2000,NA,483
484,Brandon Armstrong,2000,NA,484
485,Andrei Kirilenko,2000,NA,485
486,Gerald Wallace,2000,NA,486
487,Samuel Dalembert,2000,NA,487
488,Jamaal Tinsley,2000,NA,488
489,Primoz Brezec,2000,NA,489
490,Tony Parker,2000,NA,490
491,Mitchell Butler,2000,NA,491
492,Victor Alexander,2000,NA,492
493,Harold Jamison,2000,NA,493
494,Sean Marks,2000,NA,494
495,Raja Bell,2000,NA,495
496,Charles Smith,2000,NA,496
497,Predrag Drobnjak,2000,NA,497
498,Steve Goodrich,2000,NA,498
499,Wang Zhizhi,2000,NA,499
500,Art Long,2000,NA,500
501,Jerome James,2000,NA,501
502,Amal McCaskill,2000,NA,502
503,Terence Morris,2000,NA,503
504,Brian Scalabrine,2000,NA,504
505,Trenton Hassell,2000,NA,505
506,Jeff Trepagnier,2000,NA,506
507,Kenny Satterfield,2000,NA,507
508,Ratko Varda,2000,NA,508
509,Dean Oliver,2000,NA,509
510,Gilbert Arenas,2000,NA,510
511,Oscar Torres,2000,NA,511
512,Tierre Brown,2000,NA,512
513,Jamison Brewer,2000,NA,513
514,Norm Richardson,2000,NA,514
515,Antonis Fotsis,2000,NA,515
516,Willie Solomon,2000,NA,516
517,Ernest Brown,2000,NA,517
518,Malik Allen,2000,NA,518
519,Loren Woods,2000,NA,519
520,Maurice Evans,2000,NA,520
521,Earl Watson,2000,NA,521
522,Alvin Jones,2000,NA,522
523,Damone Brown,2000,NA,523
524,Alton Ford,2000,NA,524
525,Ruben Boumtje-Boumtje,2000,NA,525
526,Carlos Arroyo,2000,NA,526
527,Jarron Collins,2000,NA,527
528,Bobby Simmons,2000,NA,528
529,Omar Cook,2000,NA,529
530,Chris Andersen,2000,NA,530
531,Sam Mack,2000,NA,531
532,Charlie Bell,2000,NA,532
533,Tang Hamilton,2000,NA,533
534,Joe Crispin,2000,NA,534
535,Dickey Simpkins,2000,NA,535
536,Yao Ming,2000,NA,536
537,Jay Williams,2000,NA,537
538,Mike Dunleavy,2000,NA,538
539,Drew Gooden,2000,NA,539
540,Nikoloz Tskitishvili,2000,NA,540
541,Dajuan Wagner,2000,NA,541
542,Nen<U+00A8><U+00BA>,2000,NA,542
543,Chris Wilcox,2000,NA,543
544,Amare Stoudemire,2000,NA,544
545,Marko Jaric,2000,NA,545
546,Caron Butler,2000,NA,546
547,Jared Jeffries,2000,NA,547
548,Cezary Trybanski,2000,NA,548
549,Melvin Ely,2000,NA,549
550,Marcus Haislip,2000,NA,550
551,Gordan Giricek,2000,NA,551
552,Fred Jones,2000,NA,552
553,Manu Ginobili,2000,NA,553
554,Jiri Welsch,2000,NA,554
555,Bostjan Nachbar,2000,NA,555
556,Juan Dixon,2000,NA,556
557,Curtis Borchardt,2000,NA,557
558,Ryan Humphrey,2000,NA,558
559,Kareem Rush,2000,NA,559
560,Mehmet Okur,2000,NA,560
561,Qyntel Woods,2000,NA,561
562,Casey Jacobsen,2000,NA,562
563,Tayshaun Prince,2000,NA,563
564,Efthimios Rentzias,2000,NA,564
565,Frank Williams,2000,NA,565
566,Chris Jefferies,2000,NA,566
567,Dan Dickau,2000,NA,567
568,John Salmons,2000,NA,568
569,Juaquin Hawkins,2000,NA,569
570,Raul Lopez,2000,NA,570
571,Mengke Bateer,2000,NA,571
572,Tremaine Fowlkes,2000,NA,572
573,Mike James,2000,NA,573
574,JR Bremer,2000,NA,574
575,Tamar Slay,2000,NA,575
576,Lonny Baxter,2000,NA,576
577,Roger Mason,2000,NA,577
578,Carlos Boozer,2000,NA,578
579,Smush Parker,2000,NA,579
580,Junior Harrington,2000,NA,580
581,Predrag Savovic,2000,NA,581
582,Vincent Yarbrough,2000,NA,582
583,Tito Maddox,2000,NA,583
584,Jannero Pargo,2000,NA,584
585,Chris Owens,2000,NA,585
586,Mike Batiste,2000,NA,586
587,Robert Archibald,2000,NA,587
588,Ken Johnson,2000,NA,588
589,Rasual Butler,2000,NA,589
590,Sean Lampley,2000,NA,590
591,Dan Gadzuric,2000,NA,591
592,Jamal Sampson,2000,NA,592
593,Ronald Murray,2000,NA,593
594,Igor Rakocevic,2000,NA,594
595,Reggie Evans,2000,NA,595
596,Pat Burke,2000,NA,596
597,Sam Clancy,2000,NA,597
598,Nate Huffman,2000,NA,598
599,Adam Harrington,2000,NA,599
600,Anthony Goldwire,2000,NA,600
601,Mike Wilks,2000,NA,601
602,Guy Rucker,2000,NA,602
603,Devin Brown,2000,NA,603
604,Paul Shirley,2000,NA,604
605,LeBron James,2000,NA,605
606,Darko Milicic,2000,NA,606
607,Carmelo Anthony,2000,NA,607
608,Chris Bosh,2000,NA,608
609,Dwyane Wade,2000,NA,609
610,Chris Kaman,2000,NA,610
611,Kirk Hinrich,2000,NA,611
612,TJ Ford,2000,NA,612
613,Mike Sweetney,2000,NA,613
614,Jarvis Hayes,2000,NA,614
615,Nick Collison,2000,NA,615
616,Mickael Pietrus,2000,NA,616
617,Marcus Banks,2000,NA,617
618,Luke Ridnour,2000,NA,618
619,Reece Gaines,2000,NA,619
620,Troy Bell,2000,NA,620
621,Zarko Cabarkapa,2000,NA,621
622,David West,2000,NA,622
623,Aleksandar Pavlovic,2000,NA,623
624,Dahntay Jones,2000,NA,624
625,Boris Diaw,2000,NA,625
626,Zoran Planinic,2000,NA,626
627,Travis Outlaw,2000,NA,627
628,Brian Cook,2000,NA,628
629,Ndudi Ebi,2000,NA,629
630,Maciej Lampe,2000,NA,630
631,Kendrick Perkins,2000,NA,631
632,Leandro Barbosa,2000,NA,632
633,Josh Howard,2000,NA,633
634,Oliver Miller,2000,NA,634
635,Travis Hansen,2000,NA,635
636,Brandon Hunter,2000,NA,636
637,Linton Johnson,2000,NA,637
638,Jason Kapono,2000,NA,638
639,Jon Stefansson,2000,NA,639
640,Marquis Daniels,2000,NA,640
641,Francisco Elson,2000,NA,641
642,James Jones,2000,NA,642
643,Josh Moore,2000,NA,643
644,Luke Walton,2000,NA,644
645,Theron Smith,2000,NA,645
646,Jerome Beasley,2000,NA,646
647,Udonis Haslem,2000,NA,647
648,Keith McLeod,2000,NA,648
649,Richie Frahm,2000,NA,649
650,Keith Bogans,2000,NA,650
651,Zaza Pachulia,2000,NA,651
652,Kyle Korver,2000,NA,652
653,Willie Green,2000,NA,653
654,Darius Songaila,2000,NA,654
655,Alex Garcia,2000,NA,655
656,Ben Handlogten,2000,NA,656
657,Maurice Williams,2000,NA,657
658,Steve Blake,2000,NA,658
659,Paul Grant,2000,NA,659
660,Matt Carroll,2000,NA,660
661,Kaniel Dickens,2000,NA,661
662,Ben Davis,2000,NA,662
663,Slavko Vranes,2000,NA,663
664,Shane Heal,2000,NA,664
665,Britton Johnsen,2000,NA,665
666,Dwight Howard,2000,NA,666
667,Emeka Okafor,2000,NA,667
668,Ben Gordon,2000,NA,668
669,Shaun Livingston,2000,NA,669
670,Devin Harris,2000,NA,670
671,Andres Nocioni,2000,NA,671
672,Josh Childress,2000,NA,672
673,Luol Deng,2000,NA,673
674,Rafael Araujo,2000,NA,674
675,Andre Iguodala,2000,NA,675
676,Luke Jackson,2000,NA,676
677,Andris Biedrins,2000,NA,677
678,Robert Swift,2000,NA,678
679,Ibo Kutluay,2000,NA,679
680,Sebastian Telfair,2000,NA,680
681,Kris Humphries,2000,NA,681
682,Al Jefferson,2000,NA,682
683,Kirk Snyder,2000,NA,683
684,Josh Smith,2000,NA,684
685,JR Smith,2000,NA,685
686,Dorell Wright,2000,NA,686
687,Jameer Nelson,2000,NA,687
688,Pavel Podkolzin,2000,NA,688
689,Viktor Khryapa,2000,NA,689
690,Delonte West,2000,NA,690
691,Nenad Krstic,2000,NA,691
692,Tony Allen,2000,NA,692
693,Carlos Delfino,2000,NA,693
694,Kevin Martin,2000,NA,694
695,Sasha Vujacic,2000,NA,695
696,Beno Udrih,2000,NA,696
697,David Harrison,2000,NA,697
698,Didier Ilunga-Mbenga,2000,NA,698
699,Anderson Varejao,2000,NA,699
700,Eddie Gill,2000,NA,700
701,Matt Barnes,2000,NA,701
702,Tommy Smith,2000,NA,702
703,Ronald Dupree,2000,NA,703
704,Quinton Ross,2000,NA,704
705,Josh Davis,2000,NA,705
706,Peter John Ramos,2000,NA,706
707,Lionel Chalmers,2000,NA,707
708,Donta Smith,2000,NA,708
709,Royal Ivey,2000,NA,709
710,Justin Reed,2000,NA,710
711,Bernard Robinson,2000,NA,711
712,Chris Duhon,2000,NA,712
713,Jared Reiner,2000,NA,713
714,Arthur Johnson,2000,NA,714
715,Horace Jenkins,2000,NA,715
716,Luis Flores,2000,NA,716
717,Andre Barrett,2000,NA,717
718,John Edwards,2000,NA,718
719,Andre Emmett,2000,NA,719
720,Antonio Burks,2000,NA,720
721,Trevor Ariza,2000,NA,721
722,Damien Wilkins,2000,NA,722
723,Mario Kasun,2000,NA,723
724,Jackson Vroman,2000,NA,724
725,Erik Daniels,2000,NA,725
726,Romain Sato,2000,NA,726
727,Matt Bonner,2000,NA,727
728,Pape Sow,2000,NA,728
729,Matt Freije,2000,NA,729
730,Corsley Edwards,2000,NA,730
731,Tony Bobbitt,2000,NA,731
732,Yuta Tabuse,2000,NA,732
733,Awvee Storey,2000,NA,733
734,Geno Carlisle,2000,NA,734
735,Andrew Bogut,2000,NA,735
736,Sarunas Jasikevicius,2000,NA,736
737,Marvin Williams,2000,NA,737
738,Deron Williams,2000,NA,738
739,Chris Paul,2000,NA,739
740,Raymond Felton,2000,NA,740
741,Martell Webster,2000,NA,741
742,Arvydas Macijauskas,2000,NA,742
743,Charlie Villanueva,2000,NA,743
744,Fabricio Oberto,2000,NA,744
745,Jose Calderon,2000,NA,745
746,Channing Frye,2000,NA,746
747,Ike Diogu,2000,NA,747
748,Andrew Bynum,2000,NA,748
749,Yaroslav Korolev,2000,NA,749
750,Sean May,2000,NA,750
751,Rashad McCants,2000,NA,751
